Stage 1 replay

found
0 	  0.24 	(   1.00,  12.00,   1.50 ) 	(   0.84,  11.88,   1.63 )
1 	  0.91 	(  11.00,   7.00,   2.50 ) 	(  10.74,   6.25,   2.05 )

unfound
2 	  1.61 	(  40.00,   0.00,   0.00 ) 	(  38.73,  -0.71,  -0.69 )
3 	  1.64 	(  31.00,  14.00,   0.50 ) 	(  29.94,  13.26,   1.51 )
4 	  4.46 	(  20.00,  20.00,   3.00 ) 	(  17.07,  18.22,   0.16 )
5 	  0.43 	(   6.00,  25.00,   0.75 ) 	(   5.84,  24.91,   1.14 )
6 	  1.72 	(  40.00,  25.00,   1.00 ) 	(  40.02,  23.78,   2.21 )
7 	  1.88 	(  27.00,  30.00,   0.25 ) 	(  26.47,  29.38,   1.95 )
8 	  1.52 	(   2.00,  39.00,   2.00 ) 	(   1.31,  38.58,   0.71 )
9 	  0.77 	(  23.00,  40.00,   1.75 ) 	(  23.03,  39.28,   1.50 )
