new stage 2 replay

found
5 	  0.95 	(   6.00,  25.00,   0.75 ) 	(   5.29,  24.56,   0.29 )
5 	  0.23 	(   6.00,  25.00,   0.75 ) 	(   5.87,  25.18,   0.72 )
5 	  0.67 	(   6.00,  25.00,   0.75 ) 	(   5.59,  24.67,   0.34 )
5 	  2.21 	(   6.00,  25.00,   0.75 ) 	(   6.61,  24.46,   2.81 )
5 	  1.36 	(   6.00,  25.00,   0.75 ) 	(   5.81,  24.83,   2.09 )

8 	  1.93 	(   2.00,  39.00,   2.00 ) 	(   2.14,  38.19,   0.26 )
8 	  0.39 	(   2.00,  39.00,   2.00 ) 	(   1.84,  39.30,   1.81 )


5 	  1.43 	(   6.00,  25.00,   0.75 ) 	(   6.20,  25.36,   2.12 )
5 	  2.52 	(   6.00,  25.00,   0.75 ) 	(   5.99,  24.61,   3.24 )
5 	  1.97 	(   6.00,  25.00,   0.75 ) 	(   6.05,  24.74,   2.70 )
5 	  1.66 	(   6.00,  25.00,   0.75 ) 	(   5.56,  24.35,   2.22 )
5 	  0.95 	(   6.00,  25.00,   0.75 ) 	(   5.29,  24.56,   0.29 )

8 	  0.40 	(   2.00,  39.00,   2.00 ) 	(   2.00,  38.71,   2.27 )
8 	  0.51 	(   2.00,  39.00,   2.00 ) 	(   1.66,  38.64,   2.13 )
8 	  0.39 	(   2.00,  39.00,   2.00 ) 	(   1.84,  39.30,   1.81 )
8 	  0.71 	(   2.00,  39.00,   2.00 ) 	(   1.41,  38.70,   1.75 )
8 	  1.33 	(   2.00,  39.00,   2.00 ) 	(   0.69,  39.20,   1.88 )



unfound
---------------------
2 	  2.44 	(  40.00,   0.00,   0.00 ) 	(  37.91,  -0.64,   1.08 )
2 	  3.56 	(  40.00,   0.00,   0.00 ) 	(  37.45,  -0.30,   2.46 )
2 	  2.08 	(  40.00,   0.00,   0.00 ) 	(  38.26,  -1.14,  -0.02 )
2 	  1.92 	(  40.00,   0.00,   0.00 ) 	(  38.38,  -0.98,  -0.36 )
2 	  2.12 	(  40.00,   0.00,   0.00 ) 	(  38.10,  -0.77,   0.51 )
2 	  2.52 	(  40.00,   0.00,   0.00 ) 	(  37.87,  -0.59,   1.20 )
2 	  1.92 	(  40.00,   0.00,   0.00 ) 	(  38.38,  -0.98,  -0.36 )
2 	  2.17 	(  40.00,   0.00,   0.00 ) 	(  38.06,  -0.74,   0.62 )
2 	  2.29 	(  40.00,   0.00,   0.00 ) 	(  37.99,  -0.69,   0.86 )
2 	  1.93 	(  40.00,   0.00,   0.00 ) 	(  38.30,  -0.91,  -0.10 )
----------------
3 	  1.37 	(  31.00,  14.00,   0.50 ) 	(  29.80,  13.34,   0.64 )
4 	  4.26 	(  20.00,  20.00,   3.00 ) 	(  19.34,  17.77,  -0.56 )
6 	  1.71 	(  40.00,  25.00,   1.00 ) 	(  40.05,  23.83,   2.25 )
7 	  1.83 	(  27.00,  30.00,   0.25 ) 	(  26.30,  28.70,   1.33 )
